customer_id,is_pass,is_loan,is_overdue,age,live_state,cont_list_no,ap_pd24h,ap_pd30d,ap_long3d,ap_long90d,ap_al,ap_dd_1lo,ap_dd_lalo,ap_dd_1lo_1ap,cd_score,cd_open_acct,cd_ovdu_acct,cd_ovdu_amt,cd_tot_bal,cd_enq_tot60d,cd_enq_org30d,gender_v_Male,education_v_12th,education_v_Below 10th,education_v_Doctorate/PhD,education_v_Graduation/Diploma,education_v_Masters/Post-Graduation,"mon_salary_v_100,000-200,000","mon_salary_v_15,000-20,000","mon_salary_v_20,000-30,000","mon_salary_v_200,000-500,000","mon_salary_v_30,000-50,000","mon_salary_v_50,000-100,000","mon_salary_v_<10,000","mon_salary_v_>=500,000",marriage_v_Single,marriage_v_Widowed,residence_type_v_Other,residence_type_v_PG,residence_type_v_Rent,employ_stat_v_Self-employed,employ_stat_v_Student,employ_stat_v_Unemployed,occupation_v_Clerical support workers,occupation_v_Craft and related trades workers,occupation_v_Elementary occupations,occupation_v_Managers,"occupation_v_Plant and machine operators, and assemblers",occupation_v_Professional,"occupation_v_Skilled agricultural, forestry and fishery workers",occupation_v_Technicians and associate prefessionals,cont1_rel_v_Friend,cont1_rel_v_Mother,cont1_rel_v_Sibling,cont1_rel_v_Spouse,cont2_rel_v_Mother,cont2_rel_v_Spouse
L1022001167906140759784751104,0,0,0,46,10010000,141,0.0,4.0,0.0,2.0,260.0,14.0,7.0,222.0,603.0,2.0,0.0,0.0,9.0,1.0,1.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
L1022001177906352944460660736,0,0,0,30,10190000,231,0.0,0.0,0.0,3.0,291.0,231.0,38.0,18047.0,719.0,3.0,0.0,0.0,114921.0,1.0,1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
L1022001247908943705009225728,0,0,0,33,10190000,424,0.0,4.0,1.0,7.0,417.0,349.0,0.0,3686.0,758.0,1.0,0.0,0.0,12590.0,0.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
L1022001247908907045492031488,0,0,0,39,10150000,6760,0.0,2.0,0.0,5.0,339.0,36.0,2.0,4004.0,629.0,3.0,1.0,498.0,498.0,1.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
L1022001267909760267383406592,0,0,0,25,10310000,1460,2.0,3.0,0.0,0.0,230.0,14.0,0.0,4025.0,582.3666622,3.74749499,0.783767535,14360.87081,193834.4737,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
L1022001157905702817048100864,0,0,0,42,10200000,511,0.0,1.0,2.0,2.0,167.0,4.0,0.0,1846.0,763.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
L1022001047901753500761128960,0,0,0,36,10010000,239,0.0,7.0,1.0,5.0,284.0,17.0,2.0,18260.0,5.0,3.0,0.0,0.0,48426.0,1.0,1.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
L1022001257909394361851510784,0,0,0,29,10200000,299,1.0,5.0,0.0,2.0,304.0,101.0,0.0,3932.0,601.0,3.0,1.0,1758.0,292986.0,1.0,0.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
L1022001087903134859556618240,0,0,0,32,10080000,307,2.0,2.0,2.0,2.0,270.0,0.0,0.0,4038.0,582.3666622,3.74749499,0.783767535,14360.87081,193834.4737,0.0,0.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
L1022001237908655583281217536,0,0,0,28,10100000,241,3.0,5.0,1.0,1.0,192.0,7.0,0.0,4032.0,685.0,1.0,1.0,2900.0,2900.0,1.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
L1022001247909064024101421056,0,0,0,31,10200000,693,0.0,2.0,1.0,1.0,211.0,16.0,0.0,18241.0,328.0,2.0,3.0,61375.0,84448.0,0.0,0.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
L1022001247908945149514940416,1,0,0,26,10100000,86,1.0,4.0,1.0,4.0,285.0,21.0,0.0,4016.0,741.0,2.0,0.0,0.0,57914.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
L1022001267909678976994574336,0,0,0,40,10250000,155,0.0,2.0,0.0,0.0,277.0,43.0,4.0,18236.0,487.0,0.0,1.0,0.0,0.0,2.0,1.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
L1022001227908061372085370880,0,0,0,28,10200000,715,2.0,3.0,1.0,4.0,342.0,56.0,0.0,3986.0,582.3666622,3.74749499,0.783767535,14360.87081,193834.4737,0.0,0.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
L1022001017900627739522564096,1,1,0,35,10250000,652,1.0,4.0,1.0,5.0,297.0,178.0,0.0,18109.0,719.0,5.0,0.0,0.0,115455.0,1.0,1.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
L1022001277910084838414286848,0,0,0,31,10280000,1094,0.0,3.0,0.0,3.0,351.0,120.0,2.0,3915.0,760.0,4.0,0.0,0.0,18758.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
L1022001017900558939341520896,0,0,0,31,10200000,797,2.0,8.0,1.0,4.0,320.0,18.0,0.0,4016.0,455.0,12.0,4.0,7043.0,187019.0,6.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
L1022001027900902183495467008,1,1,0,28,10150000,680,0.0,1.0,0.0,2.0,299.0,175.0,17.0,213.0,728.0,7.0,1.0,4425.0,137081.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
